adc1, adc2, adc3, adc4, gx, gy, gz 
2016-04-02 16:12:00.702975,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.703205,236, 236, 9, 6, -57, 47, 0 
2016-04-02 16:12:00.703906,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.704137,236, 236, 9, 6, -57, 47, 0 
2016-04-02 16:12:00.704835,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.705066,236, 236, 9, 6, -57, 50, 0 
2016-04-02 16:12:00.705766,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.705995,236, 236, 9, 6, -57, 50, 0 
2016-04-02 16:12:00.706694,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.706923,236, 236, 9, 6, -57, 50, 0 
2016-04-02 16:12:00.707624,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.708048,236, 236, 9, 6, -57, 50, 0 
2016-04-02 16:12:00.708767,236, 236, 9, 6, -57, 50, 0 
2016-04-02 16:12:00.709004,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.709697,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.709963,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.710664,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.710897,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.711591,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.711821,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.712517,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.712745,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.713436,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.713665,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.714355,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.714585,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.715275,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.715504,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.716192,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.716422,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.717115,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.717342,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.718031,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.718259,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.718949,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.719179,236, 236, 9, 6, -57, 50, 0 
2016-04-02 16:12:00.719874,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.720109,236, 236, 9, 6, -57, 50, 0 
